timestamp,eventType,mazeNumber,attemptNumber,collectedCoins,totalCoins,totalScore,mazeElapsedTime,totalGameElapsedTime,headPositionX,headPositionY,headPositionZ,headRotationX,headRotationY,headRotationZ,playerPositionX,playerPositionY,playerPositionZ,playerRotationY,rightThumbstickX,rightThumbstickY,rightTrigger,leftThumbstickX,leftThumbstickY,leftTrigger
4.33153439,DATA,1,0,0,0,0,0.0,0.0,0.548923,1.725385,-1.0525887,8.167842,0.5514553,-3.92468262,0.55,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3934536,DATA,1,0,0,0,0,0.0,0.0,0.5494254,1.72539473,-1.05274093,8.251567,0.262405485,-3.99642944,0.55,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.44901,DATA,1,0,0,0,0,0.0,0.0,0.549695,1.72552216,-1.05276215,8.329747,-0.130645752,-4.06188965,0.55,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.508419,DATA,1,0,0,0,0,0.0,0.0,0.5491704,1.72563326,-1.05270934,8.379365,-0.6702881,-4.003296,0.55,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.55998564,DATA,1,0,0,0,0,0.0,0.0,0.545281351,1.72671533,-1.05299294,8.118037,-2.53277588,-3.009552,0.55,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.61480045,DATA,1,0,0,0,0,0.0,0.0,0.5410771,1.72716093,-1.05343914,8.00234,-4.91448975,-2.01083374,0.55,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.67005157,DATA,1,0,0,0,0,0.0,0.0,0.538272738,1.72705233,-1.053755,8.240759,-6.60137939,-1.62332153,0.55,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.72599173,DATA,1,0,0,0,0,0.0,0.0,0.5368008,1.72752321,-1.05375338,8.038365,-7.44247437,-1.56848145,0.55,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.78472,DATA,1,0,0,0,0,0.0,0.0,0.535958648,1.72796273,-1.05375588,7.649429,-7.60351563,-1.5319519,0.55,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.845487,DATA,1,0,0,0,0,0.0,0.0,0.53579545,1.72787786,-1.05428481,7.71459627,-7.661377,-1.81506348,0.55,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.90639067,DATA,1,0,0,0,0,0.0,0.0,0.5352143,1.727597,-1.0548116,7.82628632,-7.867981,-1.9805603,0.55,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.963914,DATA,1,0,0,0,0,0.0,0.0,0.5346073,1.72745407,-1.05536771,7.865131,-7.985779,-2.02780151,0.55,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.020135,DATA,1,0,0,0,0,0.0,0.0,0.533800662,1.72748017,-1.05579019,7.8121767,-8.195007,-1.99456787,0.55,0.0,-0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.07594252,DATA,1,0,0,0,0,0.0,0.0,0.5328859,1.71751285,-0.8866289,7.84571266,-8.531677,-1.901825,0.55,-0.01000005,0.119452208,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.13212442,DATA,1,0,0,0,0,0.0,0.0,0.5318765,1.7173053,-0.720728636,7.920989,-8.988007,-1.818634,0.55,-0.01000011,0.285453767,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.188581,DATA,1,0,0,0,0,0.0,0.0,0.531070232,1.717222,-0.554194033,8.047227,-9.446991,-1.766449,0.55,-0.01000005,0.452030063,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.24366665,DATA,1,0,0,0,0,0.0,0.0,0.5305636,1.71687746,-0.425993145,8.207029,-9.817261,-1.714447,0.55,-0.01000005,0.5801785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.29972744,DATA,1,0,0,0,0,0.0,0.0,0.530684352,1.71680474,-0.425944924,8.308233,-9.998779,-1.72192383,0.55,-0.01000005,0.5801785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.35483027,DATA,1,0,0,0,0,0.0,0.0,0.5310425,1.71683311,-0.425908327,8.312577,-9.990662,-1.74893188,0.55,-0.01000005,0.5801785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.409919,DATA,1,0,0,0,0,0.0,0.0,0.531866431,1.716908,-0.425725132,8.3216,-9.860474,-1.80267334,0.55,-0.01000005,0.5801785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.466529,DATA,1,0,0,0,0,0.0,0.0,0.532589853,1.71667457,-0.425392628,8.396069,-9.703705,-1.92514038,0.55,-0.01000005,0.5801785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.522305,DATA,1,0,0,0,0,0.0,0.0,0.533331633,1.71662331,-0.302411467,8.453478,-9.5578,-2.00112915,0.55,-0.01000005,0.7028379,0.0,0.0,0.0,1.0,0.0,0.0,0.0
